SF,TP,CL,len_CL,len_SF
3001489,1,1000000,1,5
3001197,1,1000000,1,5
3002405,1,1000001,1,5
3001766,1,1000003,1,5
3001763,1,1000000,1,5
3002069,1,1000001,1,5
3001613,1,1000000,1,5
3002145,1,1000000,1,5
3001542,1,1000003,1,5
3002330,1,1000000,1,5
3000065,1,1000002,1,5
3002392,1,1000000,1,5
3002060,1,1000001,1,5
3002198,1,1000000,1,5
3002058,1,1000001,1,5
3001484,1,1000003,1,5
3000108,1,1000003,1,5
3001853,1,1000003,1,5
3000078,1,1000000,1,5
3001131,1,1000000,1,5
3001903,1,1000003,1,5
3001306,1,1000000,1,5
3002136,1,1000003,1,5
3001147,1,1000003,1,5
3001632,1,1000000,1,5
3002127,1,1000000,1,5
3002123,1,1000000,1,5
3001297,1,1000003,1,5
3001861,1,1000004,1,5
3002114,1,1000002,1,5
3001745,1,1000000,1,5
3002419,1,1000001,1,5
3002107,1,1000000,1,5
3000062,1,1000003,1,5
3002356,1,1000003,1,5
3001285,1,1000000,1,5
3000610,1,1000000,1,5
3000572,1,1000001,1,5
3000800,1,1000001,1,5
3000311,1,1000003,1,5
3000889,1,1000003,1,5
3000944,1,1000004,1,5
3000659,1,1000001,1,5
3000732,1,1000003,1,5
3000520,1,1000004,1,5
3000731,1,1000001,1,5
3000181,1,1000001,1,5
3000587,1,1000002,1,5
3000950,1,1000003,1,5
3000612,1,1000003,1,5
3000312,1,1000002,1,5
3001036,1,1000002,1,5
3000453,1,1000000,1,5
3000531,1,1000002,1,5
3000395,1,1000000,1,5
3000394,1,1000003,1,5
3000945,1,1000003,1,5
3000908,1,1000003,1,5
3000674,1,1000003,1,5
3000725,1,1000003,1,5
3000534,1,1000004,1,5
3000630,1,1000003,1,5
3000411,1,1000001,1,5
3000641,1,1000003,1,5
3000642,1,1000001,1,5
3000558,1,1000001,1,5
3000645,1,1000002,1,5
3000773,1,1000000,1,5
3000981,1,1000003,1,5
3000421,1,1000003,1,5
3000777,1,1000003,1,5
3000866,1,1000000,1,5
3000807,1,1000000,1,5
3000751,1,1000003,1,5
3000635,1,1000002,1,5
3000928,1,1000003,1,5
3000274,1,1000003,1,5
3000186,1,1000003,1,4
3002000,1,1000001,1,4
3001495,1,1000003,1,4
3000429,1,1000003,1,4
3002015,1,1000001,1,4
3001991,1,1000000,1,4
3000938,1,1000000,1,4
3000437,1,1000002,1,4
3000150,1,1000003,1,4
